"Time (s) Run #5","Position (m) Run #5","Velocity (m/s) Run #5","Acceleration (m/s²) Run #5","Time (s) Run #6","Position (m) Run #6","Velocity (m/s) Run #6","Acceleration (m/s²) Run #6","Time (s) Run #7","Position (m) Run #7","Velocity (m/s) Run #7","Acceleration (m/s²) Run #7","Time (s) Run #8","Position (m) Run #8","Velocity (m/s) Run #8","Acceleration (m/s²) Run #8","Time (s) Run #9","Position (m) Run #9","Velocity (m/s) Run #9","Acceleration (m/s²) Run #9","Time (s) Run #10","Position (m) Run #10","Velocity (m/s) Run #10","Acceleration (m/s²) Run #10","Time (s) Run #11","Position (m) Run #11","Velocity (m/s) Run #11","Acceleration (m/s²) Run #11","Time (s) Run #12","Position (m) Run #12","Velocity (m/s) Run #12","Acceleration (m/s²) Run #12","Time (s) Run #13","Position (m) Run #13","Velocity (m/s) Run #13","Acceleration (m/s²) Run #13","Time (s) Run #14","Position (m) Run #14","Velocity (m/s) Run #14","Acceleration (m/s²) Run #14"
0.000,1.05,,,0.000,1.00,,,0.000,1.05,,,0.000,1.04,,,0.000,1.07,,,0.000,1.06,,,0.000,1.08,,,0.000,1.11,,,0.000,1.06,,,0.000,1.02,,
0.020,1.05,0.01,,0.020,1.00,0.49,,0.020,1.05,7.44E-4,,0.020,1.03,-0.08,,0.020,1.07,-0.01,,0.020,1.06,0.00,,0.020,1.08,0.00,,0.020,1.10,-0.32,,0.020,1.07,0.11,,0.020,1.02,0.10,
0.040,1.05,0.01,-0.15,0.040,1.02,-0.11,-17.96,0.040,1.05,0.04,0.23,0.040,1.03,-0.01,3.44,0.040,1.07,-0.05,-0.86,0.040,1.06,-5.57E-4,0.22,0.040,1.08,-0.01,-0.51,0.040,1.09,-0.22,2.92,0.040,1.07,0.04,-2.86,0.040,1.02,0.05,-1.00
0.060,1.05,0.00,-0.12,0.060,1.00,-0.23,-1.44,0.060,1.05,0.01,-1.58,0.060,1.03,0.06,4.84,0.060,1.07,-0.04,0.28,0.060,1.06,0.01,0.57,0.060,1.08,-0.02,-0.56,0.060,1.09,-0.21,3.54,0.060,1.07,0.00,-1.63,0.060,1.02,0.06,1.30
0.080,1.05,4.36E-4,-0.25,0.080,0.99,0.06,3.00,0.080,1.05,-0.06,-1.48,0.080,1.04,0.14,5.60,0.080,1.07,-0.02,0.69,0.080,1.06,0.03,0.45,0.080,1.08,-0.04,-0.12,0.080,1.09,-0.11,4.31,0.080,1.07,-0.01,-0.79,0.080,1.02,0.15,0.58
0.100,1.05,4.05E-4,-0.63,0.100,1.00,0.15,-2.07,0.100,1.05,-0.09,0.30,0.100,1.04,0.35,1.73,0.100,1.07,0.00,0.40,0.100,1.06,0.04,-0.08,0.100,1.08,-0.04,0.73,0.100,1.08,0.00,4.25,0.100,1.07,-0.03,0.02,0.100,1.03,0.16,-2.69
0.120,1.05,-0.02,-0.83,0.120,1.02,-0.12,-5.18,0.120,1.04,-0.04,1.85,0.120,1.05,0.37,-6.38,0.120,1.07,-0.01,0.16,0.120,1.06,0.03,-0.63,0.120,1.07,-0.01,1.04,0.120,1.09,0.10,1.95,0.120,1.07,-0.03,0.91,0.120,1.03,0.02,-4.72
0.140,1.05,-0.05,-0.28,0.140,0.99,-0.29,-0.74,0.140,1.05,0.02,1.49,0.140,1.06,0.04,-11.29,0.140,1.07,-0.01,0.41,0.140,1.06,0.01,-0.85,0.140,1.07,0.03,-0.01,0.140,1.09,0.10,-0.78,0.140,1.06,0.01,1.46,0.140,1.03,-0.14,-2.33
0.160,1.04,-0.05,0.75,0.160,0.99,-0.12,5.17,0.160,1.05,0.05,-0.42,0.160,1.05,-0.31,-6.51,0.160,1.07,0.01,0.76,0.160,1.06,-0.01,-0.74,0.160,1.08,0.01,-0.05,0.160,1.09,0.03,-2.73,0.160,1.07,0.05,0.69,0.160,1.02,-0.12,1.61
0.180,1.04,-0.01,1.13,0.180,1.00,0.06,6.70,0.180,1.05,0.00,-2.11,0.180,1.04,-0.33,2.51,0.180,1.07,0.03,0.77,0.180,1.06,-0.02,-0.32,0.180,1.08,-0.06,3.17,0.180,1.09,-0.02,-3.65,0.180,1.07,0.06,-0.93,0.180,1.02,0.02,2.46
0.200,1.05,0.02,0.58,0.200,0.99,0.15,3.67,0.200,1.05,-0.07,-2.09,0.200,1.04,-0.05,6.32,0.200,1.07,0.04,0.41,0.200,1.06,-0.03,0.29,0.200,1.07,0.08,6.94,0.200,1.09,-0.11,-3.90,0.200,1.07,0.00,-1.66,0.200,1.03,0.05,0.88
0.220,1.05,0.01,0.26,0.220,0.99,0.24,-1.79,0.220,1.04,-0.11,-0.49,0.220,1.04,0.08,3.86,0.220,1.07,0.05,-0.02,0.220,1.06,-0.01,0.75,0.220,1.07,0.34,4.43,0.220,1.09,-0.21,-3.09,0.220,1.07,-0.05,-0.70,0.220,1.03,-0.01,1.19
0.240,1.04,0.00,0.76,0.240,1.02,0.13,-6.69,0.240,1.04,-0.09,3.12,0.240,1.04,0.04,0.39,0.240,1.07,0.04,-0.39,0.240,1.06,0.01,0.66,0.240,1.09,0.44,-5.08,0.240,1.08,-0.26,0.76,0.240,1.07,-0.03,0.86,0.240,1.02,0.02,3.79
0.260,1.04,0.04,1.41,0.260,1.00,-0.14,-5.36,0.260,1.04,-0.04,7.42,0.260,1.04,0.04,-1.03,0.260,1.08,0.03,-0.66,0.260,1.06,0.03,-0.04,0.260,1.10,0.11,-10.90,0.260,1.08,-0.24,6.84,0.260,1.07,0.02,0.96,0.260,1.02,0.19,4.24
0.280,1.05,0.08,1.24,0.280,1.00,-0.27,1.83,0.280,1.04,0.23,7.98,0.280,1.04,0.03,-1.99,0.280,1.08,0.01,-0.87,0.280,1.06,0.01,-0.74,0.280,1.10,-0.30,-6.89,0.280,1.07,0.02,9.43,0.280,1.07,0.04,-0.47,0.280,1.03,0.30,0.59
0.300,1.05,0.10,0.12,0.300,0.99,0.00,6.73,0.300,1.04,0.46,1.49,0.300,1.04,-0.03,-2.98,0.300,1.08,0.00,-1.22,0.300,1.06,-0.02,0.52,0.300,1.08,-0.23,0.81,0.300,1.07,0.34,3.79,0.300,1.07,-0.01,-1.53,0.300,1.04,0.22,-3.61
0.320,1.05,0.09,-1.22,0.320,0.99,0.21,3.91,0.320,1.07,0.37,-6.73,0.320,1.04,-0.12,-2.35,0.320,1.08,-0.03,-1.24,0.320,1.06,-0.03,3.16,0.320,1.08,-0.05,1.99,0.320,1.09,0.29,-6.53,0.320,1.07,-0.06,-1.06,0.320,1.04,0.07,-5.00
0.340,1.05,0.05,-2.02,0.340,1.01,0.19,-1.99,0.340,1.07,-5.93E-4,-8.75,0.340,1.04,-0.16,-0.32,0.340,1.08,-0.07,-0.38,0.340,1.06,0.13,3.43,0.340,1.09,-0.04,0.60,0.340,1.10,-0.06,-10.34,0.340,1.07,-0.06,0.28,0.340,1.04,-0.01,-4.85
0.360,1.05,-0.01,-1.63,0.360,1.01,0.01,-2.70,0.360,1.06,-0.12,-5.45,0.360,1.03,-0.12,1.44,0.360,1.07,-0.07,1.04,0.360,1.06,0.24,-0.66,0.360,1.08,-0.25,3.43,0.360,1.08,-0.37,-3.49,0.360,1.07,-0.03,0.70,0.360,1.04,-0.07,-4.92
0.380,1.05,-0.04,-0.38,0.380,1.00,-0.04,1.04,0.380,1.05,-0.10,-2.75,0.380,1.03,-0.07,1.93,0.380,1.07,-0.01,1.67,0.380,1.08,0.12,-5.51,0.380,1.07,0.04,4.90,0.380,1.07,-0.25,5.84,0.380,1.07,-0.01,-0.07,0.380,1.04,-0.22,-4.06
0.400,1.05,-0.02,0.56,0.400,1.00,0.12,3.02,0.400,1.07,-0.18,-1.58,0.400,1.03,-0.04,1.45,0.400,1.07,0.03,0.95,0.400,1.07,-0.10,-4.72,0.400,1.07,0.28,1.58,0.400,1.07,0.06,8.23,0.400,1.06,-0.03,-0.91,0.400,1.03,-0.31,0.32
0.420,1.05,0.01,0.88,0.420,1.01,0.21,0.38,0.420,1.04,-0.27,1.02,0.420,1.03,-0.01,0.83,0.420,1.07,0.03,-0.20,0.420,1.06,-0.19,0.56,0.420,1.11,0.02,-1.57,0.420,1.08,0.21,2.74,0.420,1.06,-0.07,-0.38,0.420,1.02,-0.26,5.47
