,Time (s) Run #1,Position (m) Run #1,Time (s) Run #2,Position (m) Run #2,Time (s) Run #3,Position (m) Run #3,Time (s) Run #4,Position (m) Run #4,Time (s) Run #5,Position (m) Run #5,Time (s) Run #6,Position (m) Run #6,Time (s) Run #7,Position (m) Run #7,Time (s) Run #8,Position (m) Run #8,Time (s) Run #9,Position (m) Run #9,Time (s) Run #10,Position (m) Run #10
4,0.0,0.96,0.0,0.94,0.0,0.98,0.0,0.92,0.0,0.92,0.0,0.98,0.0,0.94,0.0,1.02,0.0,1.01,0.0,0.98
5,0.020000000000000004,0.94,0.020000000000000004,0.91,0.020000000000000004,0.95,0.020000000000000004,0.89,0.020000000000000004,0.89,0.020000000000000004,0.96,0.020000000000000004,0.91,0.020000000000000004,1.01,0.020000000000000004,0.99,0.020000000000000004,0.97
6,0.039999999999999994,0.91,0.039999999999999994,0.95,0.039999999999999994,0.92,0.039999999999999994,0.87,0.039999999999999994,0.86,0.039999999999999994,0.93,0.039999999999999994,0.89,0.039999999999999994,0.98,0.039999999999999994,0.98,0.039999999999999994,0.95
7,0.06000000000000001,0.88,0.06000000000000001,0.87,0.06000000000000001,0.89,0.06000000000000001,0.83,0.06000000000000001,0.83,0.06000000000000001,0.91,0.06000000000000001,0.86,0.06000000000000001,0.97,0.06000000000000001,0.97,0.06000000000000001,0.94
8,0.08,0.85,0.08,0.83,0.08,0.86,0.08,0.8,0.08,0.8,0.08,0.88,0.08,0.83,0.08,0.94,0.08,0.95,0.08,0.92
9,0.09999999999999999,0.81,0.09999999999999999,0.85,0.09999999999999999,0.83,0.09999999999999999,0.77,0.09999999999999999,0.77,0.09999999999999999,0.85,0.09999999999999999,0.8,0.09999999999999999,0.92,0.09999999999999999,0.92,0.09999999999999999,0.91
10,0.12000000000000001,0.78,0.12000000000000001,0.78,0.12000000000000001,0.8,0.12000000000000001,0.73,0.12000000000000001,0.73,0.12000000000000001,0.82,0.12000000000000001,0.77,0.12000000000000001,0.89,0.12000000000000001,0.9,0.12000000000000001,0.89
11,0.14,0.74,0.14,0.73,0.14,0.76,0.14,0.69,0.14,0.69,0.14,0.79,0.14,0.74,0.14,0.86,0.14,0.88,0.14,0.88
12,0.15999999999999998,0.7,0.15999999999999998,0.69,0.15999999999999998,0.72,0.15999999999999998,0.66,0.15999999999999998,0.65,0.15999999999999998,0.76,0.15999999999999998,0.71,0.15999999999999998,0.85,0.15999999999999998,0.86,0.15999999999999998,0.87
13,0.18,0.66,0.18,0.65,0.18,0.68,0.18,0.62,0.18,0.61,0.18,0.72,0.18,0.67,0.18,0.82,0.18,0.84,0.18,0.85
14,0.2,0.62,0.2,0.61,0.2,0.64,0.2,0.58,0.2,0.57,0.2,0.69,0.2,0.63,0.2,0.8,0.2,0.81,0.2,0.84
15,0.21999999999999997,0.57,0.21999999999999997,0.57,0.21999999999999997,0.6,0.21999999999999997,0.54,0.21999999999999997,0.52,0.21999999999999997,0.65,0.21999999999999997,0.6,0.21999999999999997,0.76,0.21999999999999997,0.79,0.21999999999999997,0.82
16,0.24,0.53,0.24,0.52,0.24,0.56,0.24,0.5,0.24,0.48,0.24,0.61,0.24,0.56,0.24,0.73,0.24,0.77,0.24,0.81
17,0.26,0.48,0.26,0.48,0.26,0.51,0.26,0.46,0.26,0.44,0.26,0.57,0.26,0.52,0.26,0.7,0.26,0.75,0.26,0.79
18,0.27999999999999997,0.43,0.27999999999999997,0.43,0.27999999999999997,0.46,0.27999999999999997,0.41,0.27999999999999997,0.39,0.27999999999999997,0.53,0.27999999999999997,0.48,0.27999999999999997,0.67,0.27999999999999997,0.73,0.27999999999999997,0.78
19,0.3,0.38,0.3,0.38,0.3,0.42,0.3,0.37,0.3,0.35,0.3,0.49,0.3,0.44,0.3,0.63,0.3,0.7,0.3,0.76
20,0.32,0.33,0.32,0.33,0.32,0.37,0.32,0.32,0.32,0.3,0.32,0.45,0.32,0.4,0.32,0.6,0.32,0.68,0.32,0.75
21,0.33999999999999997,0.27,0.33999999999999997,0.27,0.33999999999999997,0.32,0.33999999999999997,0.28,0.33999999999999997,0.26,0.33999999999999997,0.4,0.33999999999999997,0.37,0.33999999999999997,0.57,0.33999999999999997,0.65,0.33999999999999997,0.73
22,0.36,0.22,0.36,0.22,0.36,0.26,0.36,0.23,0.36,0.21,0.36,0.36,0.36,0.32,0.36,0.54,0.36,0.63,0.36,0.71
