,Time (s) Run #1,Position (m) Run #1,Time (s) Run #2,Position (m) Run #2,Time (s) Run #3,Position (m) Run #3,Time (s) Run #4,Position (m) Run #4,Time (s) Run #5,Position (m) Run #5,Time (s) Run #6,Position (m) Run #6,Time (s) Run #7,Position (m) Run #7,Time (s) Run #8,Position (m) Run #8,Time (s) Run #9,Position (m) Run #9,Time (s) Run #10,Position (m) Run #10,Time (s) Run #11,Position (m) Run #11
3,0.0,0.98,0.0,1.01,0.0,1.01,0.0,1.01,0.0,0.92,0.0,0.95,0.0,0.92,0.0,0.96,0.0,0.98,0.0,1.02,0.0,0.91
4,0.020000000000000004,0.98,0.020000000000000004,1.01,0.020000000000000004,1.01,0.020000000000000004,1.01,0.020000000000000004,0.92,0.020000000000000004,0.95,0.020000000000000004,0.92,0.020000000000000004,0.96,0.020000000000000004,0.98,0.020000000000000004,1.02,0.020000000000000004,0.91
5,0.04000000000000001,0.98,0.04000000000000001,1.01,0.04000000000000001,1.01,0.04000000000000001,1.0,0.04000000000000001,0.92,0.04000000000000001,0.95,0.04000000000000001,0.92,0.04000000000000001,0.96,0.04000000000000001,0.98,0.04000000000000001,1.02,0.04000000000000001,0.91
6,0.06,0.98,0.06,1.01,0.06,1.01,0.06,1.0,0.06,0.92,0.06,0.95,0.06,0.92,0.06,0.96,0.06,0.98,0.06,1.02,0.06,0.91
7,0.08000000000000002,0.98,0.08000000000000002,1.01,0.08000000000000002,1.01,0.08000000000000002,1.0,0.08000000000000002,0.93,0.08000000000000002,0.95,0.08000000000000002,0.92,0.08000000000000002,0.96,0.08000000000000002,0.98,0.08000000000000002,1.02,0.08000000000000002,0.91
8,0.1,0.98,0.1,1.01,0.1,1.01,0.1,1.0,0.1,0.93,0.1,0.95,0.1,0.92,0.1,0.96,0.1,0.98,0.1,1.02,0.1,0.91
9,0.12,0.98,0.12,1.01,0.12,1.01,0.12,1.0,0.12,0.93,0.12,0.95,0.12,0.92,0.12,0.96,0.12,0.98,0.12,1.02,0.12,0.91
10,0.14,0.98,0.14,1.01,0.14,1.01,0.14,1.04,0.14,0.93,0.14,0.95,0.14,0.92,0.14,0.96,0.14,0.98,0.14,1.02,0.14,0.91
11,0.16,0.98,0.16,1.01,0.16,1.01,0.16,1.0,0.16,0.93,0.16,0.95,0.16,0.92,0.16,0.96,0.16,0.98,0.16,1.02,0.16,0.91
12,0.18,0.98,0.18,1.01,0.18,1.0,0.18,0.99,0.18,0.93,0.18,0.95,0.18,0.92,0.18,0.96,0.18,0.98,0.18,1.02,0.18,0.89
13,0.2,0.98,0.2,1.01,0.2,1.0,0.2,0.99,0.2,0.93,0.2,0.94,0.2,0.92,0.2,0.96,0.2,0.98,0.2,1.02,0.2,0.89
14,0.22000000000000003,0.98,0.22000000000000003,1.01,0.22000000000000003,1.0,0.22000000000000003,0.99,0.22000000000000003,0.93,0.22000000000000003,0.93,0.22000000000000003,0.91,0.22000000000000003,0.96,0.22000000000000003,0.98,0.22000000000000003,1.02,0.22000000000000003,0.9
15,0.24,0.98,0.24,1.0,0.24,0.99,0.24,0.97,0.24,0.93,0.24,0.93,0.24,0.91,0.24,0.96,0.24,0.98,0.24,1.02,0.24,0.89
